ID_REF,GSM1007144
cg00000292,0.8210617
cg00002426,0.7459397
cg00003994,0.04732984
cg00005847,0.2098361
cg00006414,0.1240209
cg00007981,0.06433678
cg00008493,0.9553148
cg00008713,0.03137295
cg00009407,0.0290657
cg00010193,0.625131
cg00011459,0.893032
cg00012199,0.0295709
cg00012386,0.03581909
cg00012792,0.01575969
cg00013618,0.859262
cg00014085,0.05068086
cg00014837,0.8549398
cg00015770,0.1006926
cg00016968,0.8565917
cg00019495,0.514307
cg00020533,0.8888889
cg00021527,0.04993523
cg00022606,0.04810163
cg00022866,0.3362526
cg00024396,0.06052937
cg00024812,0.05921723
cg00025138,0.03851875
cg00025991,0.419775
cg00027083,0.06124538
cg00027674,0.1552
cg00029826,0.1952663
cg00029931,0.2510707
cg00030047,0.1165186
cg00031162,0.6929855
cg00032227,0.02094241
cg00032666,0.5730932
cg00033516,0.04302628
cg00033773,0.963623
cg00034039,0.06994504
cg00035347,0.4672131
cg00035623,0.07211368
cg00037763,0.9102409
cg00037940,0.8433322
cg00040861,0.0533319
cg00040873,0.1727118
cg00041575,0.08801635
cg00042156,0.8059798
cg00043004,0.04142857
cg00043080,0.8599911
cg00044245,0.06761845
cg00044729,0.8722978
cg00047050,0.1355191
cg00047469,0.03016294
cg00049986,0.1521026
cg00050312,0.03021064
cg00051623,0.8141852
cg00051979,0.1247176
cg00053292,0.08424262
cg00053647,0.03307633
cg00054706,0.03790266
cg00055233,0.2199177
cg00056767,0.03597335
cg00057593,0.7389849
cg00058938,0.4489782
cg00059225,0.2938411
cg00059424,0.05885016
cg00059740,0.03910283
cg00059930,0.5732135
cg00060762,0.02661654
cg00060882,0.1881576
cg00061059,0.1167533
cg00061629,0.2059702
cg00062776,0.9650993
cg00063144,0.8171048
cg00065385,0.9059588
cg00065408,0.03354834
cg00066153,0.9058254
cg00066816,0.2323363
cg00067471,0.1602936
cg00069261,0.08355971
cg00071250,0.6113249
cg00071998,0.04057481
cg00072216,0.05755777
cg00073650,0.7983587
cg00075967,0.7200711
cg00076645,0.04244222
cg00077457,0.7839451
cg00077877,0.7124183
cg00078194,0.07021277
cg00078867,0.4965909
cg00079056,0.8259705
cg00079563,0.03654252
cg00080012,0.0277628
cg00081935,0.0670908
cg00081975,0.03689483
cg00083720,0.02904656
cg00083937,0.6281846
cg00084687,0.03473994
cg00089071,0.08460736
cg00090147,0.06647431
cg00091693,0.6643371
cg00093177,0.863408
cg00094319,0.8613483
cg00094851,0.02869657
cg00095526,0.8526888
cg00095674,0.04331476
cg00096922,0.07675112
cg00097536,0.03377924
cg00098162,0.7856101
cg00098239,0.02499707
cg00099550,0.02549242
cg00101227,0.8528671
cg00103783,0.02677364
cg00105253,0.05071148
cg00105470,0.09368192
cg00107187,0.06295232
cg00107488,0.1583447
cg00107632,0.02607488
cg00108454,0.5657107
cg00109274,0.0224358
cg00112517,0.1261478
cg00113020,0.8253164
cg00113951,0.1205041
cg00115714,0.3673787
cg00116234,0.07602922
cg00116838,0.09217095
cg00117172,0.02306231
cg00119079,0.08670453
cg00121158,0.02715153
cg00121640,0.05219605
cg00121904,0.216758
cg00123035,0.04511278
cg00126034,0.05789775
cg00126657,0.5544757
cg00126698,0.7003787
cg00128197,0.2749388
cg00128560,0.958445
cg00128654,0.04638619
cg00128766,0.09505281
cg00128877,0.06477782
cg00129774,0.06086722
cg00131121,0.03692743
cg00131557,0.8668478
cg00132141,0.5418024
cg00133909,0.03570761
cg00134539,0.4636163
cg00134787,0.8222021
cg00135056,0.138835
cg00135393,0.5484478
cg00136105,0.05768249
cg00136405,0.556231
cg00136477,0.7332531
cg00136736,0.06430548
cg00138126,0.7259815
cg00141162,0.1006452
cg00141550,0.7563007
cg00141845,0.3809972
cg00143376,0.5131302
cg00143998,0.05828379
cg00145118,0.4576913
cg00145348,0.4504829
cg00146096,0.04076859
cg00149659,0.0512518
cg00149976,0.0358197
cg00151234,0.340357
cg00151607,0.01859855
cg00152644,0.9033438
cg00155167,0.06333618
cg00155485,0.1026352
cg00155609,0.03324322
cg00156216,0.05482938
cg00156744,0.0311169
cg00158308,0.06032647
cg00160914,0.3278272
cg00162401,0.03842303
cg00162643,0.06821612
cg00164041,0.201433
cg00164898,0.05723939
cg00165981,0.1067515
cg00167504,0.025
cg00168082,0.06487568
cg00168785,0.1462451
cg00168942,0.6172379
cg00169548,0.451358
cg00171126,0.05776539
cg00171161,0.07157107
cg00174500,0.8820491
cg00174901,0.2435962
cg00176210,0.4106111
cg00176879,0.9781843
cg00177013,0.03851357
cg00177698,0.031212
cg00177923,0.05218317
cg00178790,0.05994695
cg00179446,0.319193
cg00180012,0.04908676
cg00180631,0.4230227
cg00182461,0.1403509
cg00183782,0.7519352
cg00183916,0.02881449
cg00184884,0.0227805
cg00184893,0.04520982
cg00185103,0.6861811
cg00185839,0.03270264
cg00186141,0.02783227
cg00186701,0.2121362
cg00186954,0.6904442
cg00187380,0.09961278
cg00187686,0.2485779
cg00188348,0.8251365
cg00191052,0.3932219
cg00194146,0.1018199
cg00195561,0.8603899
cg00197381,0.04014777
cg00197641,0.06200309
cg00199549,0.9654179
cg00200063,0.05091365
cg00201234,0.04013639
cg00202702,0.03865044
cg00202711,0.1020286
cg00204262,0.8674662
cg00206052,0.1094017
cg00207534,0.07163188
cg00208830,0.8125205
cg00208967,0.1482274
cg00209066,0.9147811
cg00209951,0.05296694
cg00210842,0.0415903
cg00211661,0.04214925
cg00212549,0.3463136
cg00213044,0.916767
cg00213331,0.8177359
cg00213714,0.08363047
cg00214346,0.06164384
cg00214794,0.5811482
cg00214855,0.1405157
cg00215066,0.9413834
cg00216361,0.05495124
cg00216758,0.0709582
cg00217795,0.5636212
cg00221494,0.0411681
cg00223186,0.05269923
cg00223950,0.05687794
cg00224234,0.02015955
cg00224508,0.0398756
cg00226904,0.7306098
cg00226923,0.9319127
cg00228799,0.05193973
cg00229387,0.4903396
cg00230271,0.06151021
cg00230368,0.03803279
cg00230502,0.153982
cg00230685,0.4629504
cg00231140,0.03146426
cg00231644,0.1438309
cg00231920,0.02826828
