,0
cg09809672,0.45363638003006546
cg16867657,0.13588886585373672
cg23984434,0.020140255561821602
cg21801378,0.01616332032623883
cg01820374,0.014195971794111048
cg19283806,0.013687785413468522
cg24120841,0.012916861010364513
cg08097417,0.012443885893854775
cg22736354,0.005729034417946482
cg21553596,0.005726493887759619
cg26609631,0.005577546770982794
cg21688264,0.00469400967601617
cg02046143,0.004665719937194958
cg12928668,0.0038481832209782815
cg18239753,0.003830295387959645
cg06744574,0.003756655601838686
cg07502389,0.0037102607847792155
cg19722847,0.0035592134112468793
cg01511567,0.003535874133417099
cg02276665,0.0033668194754237334
cg12373771,0.003202706940281179
cg10501210,0.00316863049073333
cg26614073,0.0030837074073767233
cg25148589,0.0030289868449502816
cg02154074,0.0030041461600901357
cg23320649,0.002970189700682377
cg00059225,0.002948455363146744
cg14361627,0.0027882122245339595
cg03826976,0.002678042393722098
cg20673075,0.0026379332905863647
cg12300353,0.0026245807746949966
cg02228185,0.002609381378994179
cg24079702,0.0025859640942134518
cg12379720,0.0024882898664491094
cg05923226,0.0023762946509886273
cg14918082,0.0022158165131420603
cg09805010,0.0021507258699033733
cg05472874,0.002127449577046343
cg07388493,0.002085613076629009
cg07380496,0.0020385037105810225
cg00463577,0.0020274667767857632
cg18236477,0.0020009037498641027
cg26623224,0.0019843949104643693
cg15804973,0.001983680183781312
cg21379816,0.0019602598244709037
cg14614643,0.0019154069573785702
cg23390397,0.0018910280561059613
cg14155416,0.0018200806229978614
cg04474832,0.0018064964843755235
cg04875128,0.0018003088573002495
cg12340144,0.0017992512354394058
cg00303548,0.0017975714187163504
cg07931844,0.0017975562748002527
cg06268694,0.0017944203913661918
cg04084157,0.0017790867852467969
cg11539173,0.00175694110317132
cg02489552,0.0017323052094139074
cg18056600,0.0017242260144082185
cg05156137,0.0017113561251736289
cg06639320,0.0016923951745614631
cg15894389,0.001663978395837771
cg12087643,0.0015420605186813724
cg27096144,0.0015355152677273178
cg13982318,0.0015298370092452181
cg18956369,0.001505691684587986
cg08572611,0.0014769226580825185
cg10730712,0.0014087427450576453
cg00489401,0.0013852001636807897
cg07955995,0.0013671977987656668
cg12799835,0.0013645339740346184
cg20091107,0.0013512957202607434
cg18284523,0.0013075262652990345
cg12899747,0.001302174228781761
cg12554573,0.0012807486537529385
cg21989500,0.0012757086491612748
